epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8730337023735046,0.4872332215309143,26.0,426.0,0.6419801115989685,0.009302325546741486,0.13333334028720856,3104.0,4.0,0.9489194750785828,0.6359022855758667,6.0,72.0,0.6136337518692017,0.013698630034923553,0.1428571492433548,1448.0,1.0
1,0.9446629285812378,0.45829084515571594,27.0,170.0,0.5839820504188538,0.017341040074825287,0.10000000149011612,3360.0,3.0,0.9489194750785828,0.6386748552322388,6.0,72.0,0.5572570562362671,0.013698630034923553,0.1428571492433548,1448.0,1.0
2,0.9438202381134033,0.4557790458202362,27.0,173.0,0.5295172333717346,0.017045455053448677,0.10000000149011612,3357.0,3.0,0.9476096630096436,0.6407895088195801,7.0,73.0,0.5021597146987915,0.0,0.0,1447.0,0.0
3,0.9443820118904114,0.4565911293029785,27.0,171.0,0.47508761286735535,0.017241379246115685,0.10000000149011612,3359.0,3.0,0.9521938562393188,0.6465696096420288,7.0,66.0,0.4457521438598633,0.0,0.0,1454.0,0.0
4,0.9452247023582458,0.4883238971233368,28.0,167.0,0.4189951419830322,0.011834319680929184,0.06666667014360428,3363.0,2.0,0.9567779898643494,0.6578477621078491,7.0,59.0,0.38706174492836,0.0,0.0,1461.0,0.0
5,0.949999988079071,0.4740840196609497,29.0,149.0,0.36166054010391235,0.006666666828095913,0.03333333507180214,3381.0,1.0,0.9626718759536743,0.6785244941711426,7.0,50.0,0.32727786898612976,0.0,0.0,1470.0,0.0
6,0.9542135000228882,0.5098961591720581,29.0,134.0,0.3048667907714844,0.007407407276332378,0.03333333507180214,3396.0,1.0,0.9659463167190552,0.6871240735054016,7.0,45.0,0.2695445120334625,0.0,0.0,1475.0,0.0
7,0.9575842618942261,0.5099149942398071,29.0,122.0,0.25205713510513306,0.008130080997943878,0.03333333507180214,3408.0,1.0,0.9659463167190552,0.6985432505607605,7.0,45.0,0.21741561591625214,0.0,0.0,1475.0,0.0
8,0.959269642829895,0.5169877409934998,30.0,115.0,0.20629677176475525,0.0,0.0,3415.0,0.0,0.968565821647644,0.7056861519813538,7.0,41.0,0.1734955906867981,0.0,0.0,1479.0,0.0
9,0.9620786309242249,0.5156610012054443,30.0,105.0,0.1695946902036667,0.0,0.0,3425.0,0.0,0.9718402028083801,0.7073308229446411,7.0,36.0,0.13925708830356598,0.0,0.0,1484.0,0.0
