epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9707865118980408,0.5369018316268921,23.0,81.0,0.6359075307846069,0.0,0.0,3456.0,0.0,0.9718402028083801,0.5754414200782776,14.0,29.0,0.625353991985321,0.0,0.0,1484.0,0.0
1,0.9710674285888672,0.5508413910865784,23.0,80.0,0.6137899160385132,0.0,0.0,3457.0,0.0,0.9692206978797913,0.5664243102073669,14.0,33.0,0.6026110649108887,0.0,0.0,1480.0,0.0
2,0.9719101190567017,0.5459920167922974,23.0,77.0,0.5906847715377808,0.0,0.0,3460.0,0.0,0.9705304503440857,0.5755594968795776,14.0,31.0,0.5786716938018799,0.0,0.0,1482.0,0.0
3,0.9724718928337097,0.5352054238319397,23.0,75.0,0.5662418007850647,0.0,0.0,3462.0,0.0,0.9718402028083801,0.5830186009407043,14.0,29.0,0.5533016324043274,0.0,0.0,1484.0,0.0
4,0.9724718928337097,0.5350579619407654,23.0,75.0,0.5402143001556396,0.0,0.0,3462.0,0.0,0.9718402028083801,0.5823104381561279,14.0,29.0,0.526100754737854,0.0,0.0,1484.0,0.0
5,0.9727528095245361,0.5111307501792908,23.0,74.0,0.5121784210205078,0.0,0.0,3463.0,0.0,0.9711853265762329,0.5908318758010864,14.0,30.0,0.49675285816192627,0.0,0.0,1483.0,0.0
6,0.9735954999923706,0.5172401070594788,23.0,71.0,0.4820256233215332,0.0,0.0,3466.0,0.0,0.9724950790405273,0.6061986684799194,14.0,28.0,0.46525660157203674,0.0,0.0,1485.0,0.0
7,0.9744381904602051,0.5356234312057495,23.0,68.0,0.4494991898536682,0.0,0.0,3469.0,0.0,0.9731499552726746,0.6061750650405884,14.0,27.0,0.431409627199173,0.0,0.0,1486.0,0.0
8,0.9750000238418579,0.5620582103729248,23.0,66.0,0.4147171080112457,0.0,0.0,3471.0,0.0,0.9751145839691162,0.5926021933555603,14.0,24.0,0.39539554715156555,0.0,0.0,1489.0,0.0
9,0.975561797618866,0.5543016791343689,23.0,64.0,0.37802213430404663,0.0,0.0,3473.0,0.0,0.9757694602012634,0.5892030596733093,14.0,23.0,0.35788413882255554,0.0,0.0,1490.0,0.0
