epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5561733841896057,0.496923565864563,1250.0,2661.0,0.6912808418273926,0.22215726971626282,0.3781094551086426,4141.0,760.0,0.7680699229240417,0.4955188035964966,876.0,0.0,0.6828762888908386,0.0,0.0,2901.0,0.0
1,0.7719019651412964,0.48375141620635986,2010.0,0.0,0.6738239526748657,0.0,0.0,6802.0,0.0,0.7680699229240417,0.3944908082485199,876.0,0.0,0.6653130650520325,0.0,0.0,2901.0,0.0
2,0.7719019651412964,0.47044655680656433,2010.0,0.0,0.6550610065460205,0.0,0.0,6802.0,0.0,0.7680699229240417,0.42540282011032104,876.0,0.0,0.6457185745239258,0.0,0.0,2901.0,0.0
3,0.7719019651412964,0.4597107470035553,2010.0,0.0,0.6334494948387146,0.0,0.0,6802.0,0.0,0.7680699229240417,0.3912939429283142,876.0,0.0,0.6227293610572815,0.0,0.0,2901.0,0.0
4,0.7719019651412964,0.45441651344299316,2010.0,0.0,0.6080334186553955,0.0,0.0,6802.0,0.0,0.7680699229240417,0.37301793694496155,876.0,0.0,0.5962703824043274,0.0,0.0,2901.0,0.0
5,0.7719019651412964,0.4481830596923828,2010.0,0.0,0.5800696015357971,0.0,0.0,6802.0,0.0,0.7680699229240417,0.36085811257362366,876.0,0.0,0.5699313282966614,0.0,0.0,2901.0,0.0
6,0.7719019651412964,0.42898792028427124,2010.0,0.0,0.5566288232803345,0.0,0.0,6802.0,0.0,0.7680699229240417,0.34679704904556274,876.0,0.0,0.5528437495231628,0.0,0.0,2901.0,0.0
7,0.7719019651412964,0.39805513620376587,2010.0,0.0,0.545211911201477,0.0,0.0,6802.0,0.0,0.7680699229240417,0.3430617153644562,876.0,0.0,0.5476859211921692,0.0,0.0,2901.0,0.0
8,0.7719019651412964,0.35951513051986694,2010.0,0.0,0.5425610542297363,0.0,0.0,6802.0,0.0,0.7680699229240417,0.33977222442626953,876.0,0.0,0.5470840930938721,0.0,0.0,2901.0,0.0
9,0.7719019651412964,0.34890884160995483,2010.0,0.0,0.5421951413154602,0.0,0.0,6802.0,0.0,0.7680699229240417,0.3397824764251709,876.0,0.0,0.5470463037490845,0.0,0.0,2901.0,0.0
